time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
3.86,0.345196,0.346879,-45.1104,0.365598,0.84928,0.365598,0.84928,2.038,135.703
3.88,0.339761,0.351816,-42.3828,0.36715,0.864147,0.36715,0.864146,2.0532,136.378
3.9,0.334543,0.357028,-39.6527,0.36875,0.875791,0.36875,0.875793,2.06717,136.506
3.92,0.329558,0.362507,-36.9309,0.370384,0.884044,0.370384,0.884046,2.0857,136.087
3.94,0.324818,0.368243,-34.2285,0.372036,0.888802,0.372036,0.888799,2.10204,135.122
3.96,0.320336,0.374223,-31.5561,0.373689,0.88996,0.373689,0.889959,2.12047,133.617
3.98,0.316123,0.380436,-28.9245,0.375325,0.887456,0.375325,0.887455,2.1378,131.584
4,0.312188,0.386866,-26.3438,0.376928,0.881254,0.376928,0.881254,2.15566,129.035
4.02,0.308537,0.393497,-23.8239,0.378477,0.871351,0.378477,0.871353,2.17296,125.991
4.04,0.305176,0.400312,-21.3745,0.379957,0.857789,0.379957,0.857794,2.18983,122.473
4.06,0.302106,0.407295,-19.0043,0.381351,0.840632,0.381351,0.840628,2.20828,118.508
4.08,0.299329,0.414426,-16.7218,0.382644,0.819993,0.382644,0.819992,2.22487,114.125
4.1,0.296842,0.421688,-14.5347,0.383823,0.796014,0.383823,0.796003,2.24326,109.357
4.12,0.294641,0.429064,-12.4499,0.384876,0.768882,0.384876,0.768897,2.26101,104.239
4.14,0.292719,0.436537,-10.4737,0.385793,0.738809,0.385793,0.738811,2.27991,98.8095
4.16,0.291068,0.44409,-8.61149,0.386569,0.706046,0.386569,0.706043,2.29747,93.1101
4.18,0.289677,0.451708,-6.86787,0.387197,0.670871,0.387197,0.670872,2.31326,87.1809
4.2,0.288534,0.459377,-5.24648,0.387675,0.63358,0.387675,0.633581,2.32713,81.0698
4.22,0.287627,0.467084,-3.75012,0.388004,0.59451,0.388004,0.594509,2.33695,74.8177
4.24,0.286939,0.474817,-2.38058,0.388185,0.553985,0.388185,0.553983,2.3416,68.477
4.26,0.286455,0.482566,-1.13883,0.388222,0.512383,0.388222,0.512385,2.33895,62.088
4.28,0.28616,0.490323,-0.0247073,0.388122,0.470039,0.388122,0.470037,2.32964,55.7059
4.3,0.286035,0.49808,0.962684,0.387892,0.427357,0.387891,0.427363,2.30958,49.3696
4.32,0.286064,0.50583,1.82538,0.387542,0.38467,0.387542,0.384664,2.27928,43.1348
4.34,0.28623,0.51357,2.56617,0.387082,0.342391,0.387082,0.34239,2.23811,37.0393
4.36,0.286515,0.521296,3.18889,0.386524,0.300844,0.386524,0.300847,2.18455,31.1359
4.38,0.286903,0.529003,3.69811,0.38588,0.260442,0.38588,0.260443,2.11837,25.4615
4.4,0.287377,0.536692,4.09939,0.385163,0.22151,0.385163,0.221508,2.04032,20.0637
4.42,0.287922,0.54436,4.39894,0.384386,0.184471,0.384386,0.18447,1.94869,14.9775
4.44,0.288523,0.552008,4.60382,0.383563,0.14971,0.383563,0.149712,1.84583,10.2443
4.46,0.289167,0.559635,4.72174,0.382706,0.117774,0.382706,0.117775,1.73079,5.89607
4.48,0.28984,0.567242,4.76108,0.381827,0.089385,0.381827,0.0893964,1.60494,1.96681
4.5,0.290531,0.574829,4.73076,0.380937,0.0658643,0.380938,0.0658407,1.47142,1.51576
4.52,0.29123,0.582398,4.64026,0.380049,0.0496487,0.380048,0.0496884,1.32365,4.52546
4.54,0.291926,0.589949,4.49945,0.379171,0.043928,0.379171,0.0438918,1.17319,7.04012
4.56,0.292612,0.597484,4.31862,0.378311,0.0480661,0.378311,0.0480694,1.01356,9.04167
4.58,0.293281,0.605004,4.10833,0.377478,0.0567597,0.377478,0.0567485,0.848632,10.5147
4.6,0.293928,0.61251,3.87934,0.376675,0.0657794,0.376675,0.0657898,0.679937,11.4492
4.62,0.294549,0.620003,3.64182,0.375918,0.0729044,0.375918,0.0729038,0.512493,11.8759
4.64,0.295141,0.627487,3.40211,0.375373,0.074405,0.375373,0.074404,0.621566,11.9857
4.66,0.295704,0.634972,3.16532,0.375329,0.0738631,0.375328,0.0738653,1.25823,11.8394
4.68,0.296237,0.642475,2.93462,0.376085,0.0853176,0.376085,0.0853153,1.99204,11.5351
4.7,0.296742,0.650017,2.71238,0.377927,0.120575,0.377927,0.12058,2.69923,11.1119
4.72,0.29722,0.657623,2.49997,0.381089,0.176372,0.381089,0.17637,3.2847,10.6208
4.74,0.297672,0.665325,2.29826,0.385748,0.245579,0.385748,0.245578,3.72449,10.0854
4.76,0.298101,0.673154,2.10761,0.392011,0.322507,0.392011,0.322508,3.99753,9.53237
4.78,0.298508,0.681142,1.92811,0.399923,0.402787,0.399923,0.402786,4.10497,8.97505
4.8,0.298894,0.689322,1.75957,0.409461,0.482708,0.409461,0.48271,4.05359,8.42701
4.82,0.299261,0.697725,1.60166,0.420547,0.559044,0.420547,0.559042,3.85367,7.89528
